Id,City,Country
786,São Paulo, Brasil
787,Habana,
788,México,
789,São Paulo, Brasil
790,Madrid, España
791,México,
792,Puebla,
793,Bogotá,
794,Lisboa, Portugal
795,Pontevedra,
796,Conceição  do Castelo, ES
797,Madrid, España
798,Habana,
799,Peru,
800,Madrid, España
801,Valencia,
802,Lisboa, Portugal
803,Lleida,
804,Place of publication not identified,
805,,
806,Place of publication not identified,
807,Bogotá,
808,Buenos Aires, Argentina
809,Bogotá,
810,Madrid, España
811,Barcelona, España
812,Madrid, España
813,,
814,México, D.F
815,São Paulo, Brasil
816,Madrid, España
817,Buenos Aires, Argentina
818,,
819,,
820,,
821,,
822,San Juan, P.R
823,La Habana, Cuba
824,Paris, France
825,Buenos Aires, Argentina
826,San José,
827,Barcelona, España
828,Santiago, Chile
829,Mexico, D.F
830,,
831,Rio de Janeiro, RJ
832,Rio de Janeiro, RJ
833,Spain,
834,,
835,,
836,,
837,,
838,Bahia,
839,Place of publication not identified,
840,,
841,Montevideo,
842,Medellín,
843,Barcelona, España
844,Puerto Rico,
845,Asunción,
846,La Paz,
847,Pozuelo de Alarcón,
848,Sevilla,
849,Madrid, España
850,Madrid, España
851,Majadahonda (Madrid,
852,Madrid, España
853,Madrid, España
854,Barcelona, España
855,Caracas, Venezuela
856,México,
857,Los Angeles, Calif
858,São Paulo, Brasil
859,Madrid, España
860,San Luis Potosí,
861,Vilafranca del Penadés [Espanya,
862,São Paulo, Brasil
863,S. Paolo,
864,Sevilla,
865,Rio de Janeiro,
866,Rio de Janeiro,
867,,
868,Santiago, Chile
869,Buenos Aires, Argentina
870,Madrid, España
871,Buenos Aires, Argentina
872,Porto,
873,Bogota,
874,Guatemala, Guatemala
875,Washington, D.C
876,Bogota,
877,Madrid, España
878,Sucre, Bolivia
879,México,
880,México,
881,México,
882,Barcelona, España
883,Aranguren,
884,Barcelona, España
885,Brasília,
886,Montevideo, Rep. Oriental del Uruguay
887,Washington,
888,Lima,
889,Rio de Janeiro,
890,Barcelona, España
891,João Pessoa,
